update,gameplay_rollouts,trade_rollouts,gameplay_reward,gameplay_reward_avg_logged,trade_reward,trade_reward_avg_logged,trade_propose,trade_accept,trade_reject,trade_counter,trade_skip,gameplay_policy_loss,gameplay_value_loss,gameplay_entropy,gameplay_entropy_avg_logged,trade_policy_loss,trade_value_loss,trade_entropy,trade_entropy_avg_logged,tom_loss,total_loss,entropy_coef,gamma,gameplay_reward_ma10,trade_reward_ma10,gameplay_entropy_ma10,trade_entropy_ma10,gameplay_value_loss_ma10,trade_value_loss_ma10,gameplay_policy_loss_ma10,trade_policy_loss_ma10,tom_loss_ma10,total_loss_ma10,trade_propose_rate,trade_accept_rate,trade_reject_rate,trade_counter_rate,trade_skip_rate
11,515,836,0.0104,0.0197,0.0067,0.0063,171,67,64,518,16,-0.8872,0.6153,0.6705,0.7491,0.5577,0.4133,2.6096,2.6109,1.607909,-0.0386,0.0012,0.94304,0.01794,0.006359999999999999,0.7387400000000001,2.62485,0.6285000000000001,0.44311999999999996,-0.28698,0.19766,1.6091794,0.21084,0.20454545454545456,0.08014354066985646,0.07655502392344497,0.6196172248803827,0.019138755980861243
12,461,902,0.0052,0.0186,0.007,0.0063,168,58,50,620,6,-0.9799,0.7609,0.5725,0.7355,0.4994,0.3625,2.6147,2.6112,1.609494,-0.1655,0.0012,0.94332,0.017349999999999997,0.0064600000000000005,0.74606,2.62317,0.6595199999999999,0.42066,-0.49230999999999997,0.31556,1.6092105,0.12587,0.18625277161862527,0.06430155210643015,0.05543237250554324,0.6873614190687362,0.0066518847006651885
13,510,846,0.0116,0.0181,0.0071,0.0064,174,56,61,550,5,-0.2391,0.6459,0.7381,0.7357,0.1412,0.4041,2.6664,2.6152,1.607372,0.1989,0.0012,0.94359,0.016749999999999998,0.006559999999999999,0.7543300000000001,2.62645,0.66458,0.40048000000000006,-0.5960799999999999,0.38052,1.6088882000000002,0.08359,0.20567375886524822,0.06619385342789598,0.07210401891252956,0.6501182033096927,0.00591016548463357
14,507,853,0.0121,0.0177,0.0073,0.0064,165,72,56,549,11,0.6061,0.597,0.7349,0.7357,-0.3724,0.4471,2.6164,2.6153,1.611077,0.5295,0.0012,0.94387,0.01691,0.0066500000000000005,0.7599,2.63007,0.65125,0.40867,-0.4853199999999999,0.31223,1.6089246,0.12508999999999998,0.19343493552168817,0.08440797186400938,0.06565064478311841,0.6436107854630715,0.012895662368112544
15,538,816,0.0253,0.0182,0.0074,0.0065,171,56,61,520,8,-0.0423,0.5273,0.7516,0.7367,-0.021,0.4776,2.6696,2.6186,1.603337,0.2228,0.0012,0.94415,0.01704,0.00677,0.76203,2.63616,0.6379699999999999,0.4128200000000001,-0.45135,0.28657,1.6083268,0.13143,0.20955882352941177,0.06862745098039216,0.07475490196078431,0.6372549019607843,0.00980392156862745
16,525,827,0.0131,0.0179,0.0075,0.0065,177,63,64,515,8,0.0708,0.5116,0.6975,0.7344,-0.0192,0.3987,2.6131,2.6183,1.608314,0.3146,0.0012,0.94442,0.016999999999999998,0.006860000000000001,0.75282,2.63525,0.62661,0.41089000000000003,-0.34961,0.22101,1.608287,0.16462,0.2140266021765417,0.0761789600967352,0.0773881499395405,0.6227327690447401,0.009673518742442563
17,514,841,0.0192,0.0179,0.0075,0.0066,168,57,60,546,10,-0.1705,0.4809,0.7689,0.7363,0.2562,0.3819,2.6795,2.6217,1.609711,0.337,0.0012,0.9447,0.01753,0.0069900000000000006,0.74974,2.64044,0.6014200000000001,0.40555,-0.28874,0.19324,1.6084423,0.19042,0.19976218787158145,0.06777645659928656,0.0713436385255648,0.6492271105826397,0.011890606420927468
18,519,835,0.0149,0.0178,0.0074,0.0066,169,56,59,537,14,-0.6606,0.7221,0.6428,0.7314,0.3876,0.3929,2.6286,2.6221,1.606686,0.0417,0.0012,0.94497,0.01731,0.0070999999999999995,0.73523,2.6354300000000004,0.60999,0.39913000000000004,-0.32341999999999993,0.21494,1.6083078,0.17831,0.20239520958083831,0.06706586826347305,0.07065868263473053,0.6431137724550898,0.016766467065868262
19,541,803,0.0168,0.0177,0.008,0.0067,172,83,51,478,19,-0.8596,0.6155,0.691,0.7293,0.6045,0.3827,2.5995,2.621,1.611185,0.0308,0.0012,0.94525,0.015399999999999997,0.007250000000000001,0.71577,2.62882,0.6007,0.41127,-0.3629,0.23514999999999997,1.6084780000000003,0.16009,0.21419676214196762,0.10336239103362391,0.06351183063511831,0.5952677459526775,0.023661270236612703
20,524,834,0.0221,0.0164,0.0077,0.0068,167,62,55,540,10,-0.5768,0.7217,0.6959,0.7171,0.3453,0.3691,2.5904,2.6253,1.609828,0.0779,0.0012,0.94553,0.01507,0.00736,0.6963699999999999,2.62878,0.61982,0.40299000000000007,-0.37391,0.23793000000000003,1.6084913,0.15491,0.20023980815347722,0.07434052757793765,0.06594724220623502,0.6474820143884892,0.011990407673860911
21,496,864,0.0167,0.0168,0.008,0.0069,169,65,56,568,6,-0.6415,0.6805,0.6646,0.7172,0.3619,0.4379,2.6653,2.6296,1.607778,0.037,0.0012,0.9458,0.0157,0.007489999999999999,0.69578,2.6343500000000004,0.62634,0.40545,-0.34933999999999993,0.21835,1.6084782,0.16247,0.19560185185185186,0.07523148148148148,0.06481481481481481,0.6574074074074074,0.006944444444444444
22,549,802,0.0207,0.0173,0.0081,0.007,166,68,50,501,17,0.1659,0.4428,0.8289,0.7337,-0.0991,0.4589,2.6038,2.6282,1.610422,0.3295,0.0012,0.94608,0.017249999999999998,0.0076,0.72142,2.63326,0.59453,0.41509,-0.23476,0.15850000000000003,1.6085710000000002,0.21197,0.20698254364089774,0.08478802992518704,0.06234413965087282,0.6246882793017456,0.02119700748129676
23,508,850,0.0149,0.0172,0.0078,0.0071,166,52,58,562,12,0.107,0.548,0.7154,0.7367,-0.0683,0.404,2.6593,2.6295,1.60894,0.3142,0.0012,0.94636,0.017580000000000002,0.007670000000000001,0.71915,2.6325499999999997,0.58474,0.41508,-0.20014999999999997,0.13755,1.6087277999999998,0.22349999999999998,0.1952941176470588,0.0611764705882353,0.06823529411764706,0.6611764705882353,0.01411764705882353
24,470,898,0.0129,0.0173,0.0078,0.0072,157,51,54,623,13,-0.1696,0.7145,0.6341,0.7345,0.0963,0.3924,2.6061,2.6308,1.609018,0.2414,0.0012,0.94663,0.017660000000000002,0.007719999999999999,0.70907,2.63152,0.59649,0.40961,-0.27771999999999997,0.18441999999999997,1.6085219,0.19469,0.17483296213808464,0.05679287305122494,0.060133630289532294,0.6937639198218263,0.014476614699331848
25,503,854,0.015,0.0168,0.0085,0.0073,174,63,55,556,6,0.758,0.6469,0.6912,0.7325,-0.4497,0.3938,2.6265,2.6317,1.610162,0.6068,0.0012,0.94691,0.01663,0.00783,0.70303,2.6272100000000003,0.60845,0.40123,-0.19768999999999998,0.14155,1.6092044,0.23308999999999996,0.20374707259953162,0.07377049180327869,0.06440281030444965,0.6510538641686182,0.00702576112412178
26,527,832,0.0202,0.0172,0.0084,0.0074,165,61,57,540,9,0.3228,0.569,0.7596,0.731,-0.2492,0.4404,2.6631,2.6337,1.60837,0.3645,0.0012,0.94719,0.01734,0.00792,0.70924,2.6322099999999997,0.61419,0.40540000000000004,-0.17248999999999998,0.11855,1.6092099999999998,0.23807999999999999,0.19831730769230768,0.0733173076923077,0.06850961538461539,0.6490384615384616,0.010817307692307692
27,481,882,0.0172,0.0173,0.0081,0.0075,159,56,53,599,15,-0.1402,0.8578,0.6335,0.7227,0.0693,0.3021,2.654,2.635,1.611411,0.2581,0.0012,0.94746,0.01714,0.00798,0.6957000000000001,2.6296600000000003,0.65188,0.39742,-0.16946,0.09986000000000002,1.6093800000000003,0.23019000000000003,0.18027210884353742,0.06349206349206349,0.060090702947845805,0.6791383219954649,0.017006802721088437
28,495,868,0.0137,0.0172,0.0086,0.0076,168,59,55,581,5,0.7906,0.6464,0.6925,0.7179,-0.4544,0.4094,2.6632,2.6343,1.608281,0.6394,0.0012,0.94774,0.01702,0.0081,0.70067,2.63312,0.6443099999999999,0.39907,-0.024339999999999973,0.015660000000000014,1.6095395,0.28996000000000005,0.1935483870967742,0.06797235023041474,0.06336405529953917,0.6693548387096774,0.00576036866359447
29,494,867,0.0123,0.016,0.0088,0.0077,168,59,52,580,8,0.382,0.5995,0.6802,0.7077,-0.2096,0.4122,2.6668,2.6343,1.609422,0.4649,0.0012,0.94802,0.01657,0.00818,0.69959,2.63985,0.6427099999999999,0.40202,0.09982000000000003,-0.06575,1.6093632,0.33337,0.19377162629757785,0.06805074971164937,0.05997693194925029,0.6689734717416378,0.00922722029988466
30,500,867,0.0088,0.0152,0.0089,0.0078,157,61,43,595,11,0.2333,0.6636,0.7517,0.7008,-0.1367,0.3844,2.6695,2.6383,1.606643,0.3983,0.0012,0.94829,0.01524,0.0083,0.7051700000000001,2.6477600000000003,0.6369,0.40354999999999996,0.18083000000000002,-0.11395,1.6090447,0.36540999999999996,0.18108419838523646,0.07035755478662054,0.049596309111880045,0.6862745098039216,0.012687427912341407
31,507,853,0.0111,0.0152,0.0089,0.0079,169,61,59,557,7,0.5034,0.6035,0.6781,0.7011,-0.2894,0.4201,2.7157,2.6436,1.606699,0.51,0.0012,0.94857,0.014680000000000002,0.00839,0.70652,2.6528,0.6292,0.40177000000000007,0.29531999999999997,-0.17908,1.6089368,0.41271,0.1981242672919109,0.07151230949589683,0.06916764361078546,0.652989449003517,0.008206330597889801
32,518,842,0.017,0.0158,0.0088,0.008,165,52,58,558,9,0.1659,0.4669,0.7948,0.7123,-0.0943,0.4236,2.7124,2.6484,1.610236,0.3347,0.0012,0.94884,0.01431,0.008459999999999999,0.70311,2.6636599999999997,0.63161,0.39824,0.29532,-0.1786,1.6089182000000002,0.41323,0.19596199524940616,0.06175771971496437,0.0688836104513064,0.66270783847981,0.010688836104513063
33,534,826,0.0177,0.0161,0.0098,0.0082,168,68,36,545,9,0.0044,0.5303,0.719,0.7113,-0.0589,0.4608,2.7144,2.6508,1.609085,0.234,0.0012,0.94912,0.01459,0.00866,0.70347,2.6691700000000003,0.62984,0.40392,0.28506,-0.17765999999999998,1.6089327,0.40521,0.2033898305084746,0.08232445520581114,0.043583535108958835,0.6598062953995157,0.010895883777239709
34,553,795,0.0228,0.0166,0.0093,0.0083,168,70,52,488,17,0.0417,0.603,0.8214,0.7156,0.0151,0.3729,2.6433,2.6522,1.610094,0.3418,0.0012,0.9494,0.01558,0.008810000000000002,0.7222000000000001,2.6728899999999998,0.61869,0.40197000000000005,0.30619,-0.18578,1.6090403000000002,0.41525,0.21132075471698114,0.0880503144654088,0.06540880503144654,0.6138364779874214,0.021383647798742137
35,522,836,0.0176,0.0162,0.0087,0.0083,165,52,64,542,13,-0.4951,0.5468,0.7245,0.7143,0.2559,0.3996,2.6007,2.6487,1.607048,0.0388,0.0012,0.94967,0.01584,0.008830000000000001,0.72553,2.6703099999999997,0.60868,0.40255,0.18088,-0.11521999999999996,1.6087289000000002,0.35845000000000005,0.19736842105263158,0.06220095693779904,0.07655502392344497,0.6483253588516746,0.01555023923444976
36,505,858,0.0187,0.0165,0.0096,0.0084,164,58,43,583,10,-0.7208,0.7607,0.7166,0.7152,0.4192,0.3655,2.6428,2.6502,1.612005,0.0218,0.0012,0.94995,0.01569,0.00895,0.72123,2.66828,0.62785,0.39506,0.07652,-0.04837999999999999,1.6090924000000002,0.32418,0.19114219114219114,0.0675990675990676,0.05011655011655012,0.6794871794871795,0.011655011655011656
37,513,851,0.0286,0.017,0.0095,0.0085,159,61,50,570,11,0.1391,0.6607,0.6948,0.7115,-0.251,0.4453,2.6198,2.6472,1.611065,0.2069,0.0012,0.95023,0.01683,0.009089999999999999,0.72736,2.66486,0.60814,0.40937999999999997,0.10445000000000002,-0.08041,1.6090578,0.31906,0.18683901292596944,0.07168037602820211,0.05875440658049354,0.6698002350176263,0.012925969447708578
38,538,814,0.0229,0.0174,0.0102,0.0087,170,78,42,511,13,0.6088,0.5054,0.7861,0.7187,-0.362,0.411,2.6836,2.65,1.608438,0.5183,0.0012,0.9505,0.017750000000000002,0.00925,0.7367199999999999,2.6669,0.59404,0.40953999999999996,0.08627000000000001,-0.07116999999999998,1.6090734999999998,0.30694999999999995,0.20884520884520885,0.09582309582309582,0.051597051597051594,0.6277641277641277,0.01597051597051597
39,521,836,0.0156,0.0173,0.0102,0.0088,169,70,38,550,9,0.6288,0.6306,0.6847,0.7184,-0.4,0.4469,2.6227,2.6512,1.609686,0.5411,0.0012,0.95078,0.018080000000000002,0.009389999999999999,0.73717,2.66249,0.59715,0.41301000000000004,0.11095000000000002,-0.09020999999999998,1.6090999,0.31457,0.2021531100478469,0.08373205741626795,0.045454545454545456,0.6578947368421053,0.01076555023923445
40,541,811,0.0202,0.0172,0.0102,0.0089,169,64,44,522,12,0.31,0.5186,0.775,0.7223,-0.1685,0.3937,2.5958,2.6514,1.609357,0.4127,0.0012,0.95106,0.01922,0.009519999999999999,0.7394999999999999,2.6551199999999997,0.5826499999999999,0.41394000000000003,0.11862000000000002,-0.09338999999999999,1.6093713,0.31601,0.20838471023427868,0.07891491985203453,0.05425400739827373,0.6436498150431565,0.014796547472256474
41,561,794,0.0253,0.0177,0.0102,0.009,172,69,50,493,10,0.4158,0.5858,0.7634,0.7273,-0.3326,0.4098,2.6127,2.6488,1.609851,0.3756,0.0012,0.95133,0.02064,0.00965,0.7480300000000001,2.64482,0.58088,0.41291,0.10986000000000003,-0.09770999999999999,1.6096865,0.30257,0.21662468513853905,0.08690176322418136,0.06297229219143577,0.6209068010075567,0.012594458438287154
42,535,816,0.0311,0.0182,0.0105,0.0091,172,84,48,501,11,0.3396,0.527,0.7767,0.7247,-0.1791,0.3617,2.5411,2.6457,1.608488,0.4264,0.0012,0.95161,0.022050000000000004,0.00982,0.74622,2.6276900000000003,0.5868899999999999,0.40671999999999997,0.12723000000000004,-0.10618999999999998,1.6095116999999999,0.31174,0.2107843137254902,0.10294117647058823,0.058823529411764705,0.6139705882352942,0.013480392156862746
43,569,776,0.0299,0.0189,0.0108,0.0093,177,86,50,451,12,0.369,0.4827,0.7364,0.7257,-0.2936,0.4475,2.5537,2.6404,1.605317,0.352,0.0012,0.95188,0.02327,0.00992,0.74796,2.61162,0.58213,0.40539,0.16369000000000003,-0.12966,1.6091348999999997,0.32354,0.22809278350515463,0.11082474226804123,0.06443298969072164,0.5811855670103093,0.015463917525773196
44,513,847,0.0239,0.0195,0.0104,0.0094,166,80,52,539,10,0.6706,0.5993,0.9623,0.7421,-0.2432,0.401,2.6015,2.6402,1.606801,0.7217,0.0012,0.95216,0.02338,0.01003,0.76205,2.60744,0.58176,0.4082,0.22658000000000006,-0.15549,1.6088055999999997,0.36153,0.1959858323494687,0.09445100354191263,0.06139315230224321,0.6363636363636364,0.011806375442739079
45,532,822,0.0214,0.0198,0.011,0.0095,172,84,41,515,10,0.2151,0.5377,0.672,0.7412,-0.1542,0.3974,2.5567,2.6367,1.606318,0.3394,0.0012,0.95244,0.02376,0.01026,0.7567999999999999,2.60304,0.5808500000000001,0.40797999999999995,0.2976,-0.19649999999999998,1.6087326000000002,0.39159,0.20924574209245742,0.10218978102189781,0.049878345498783457,0.6265206812652068,0.012165450121654502
46,575,762,0.0305,0.0203,0.011,0.0097,176,101,44,420,21,0.0807,0.6494,0.6809,0.7372,-0.0457,0.3745,2.5001,2.6285,1.611613,0.3362,0.0012,0.95271,0.02494,0.0104,0.7532300000000001,2.58877,0.56972,0.40888,0.37775000000000003,-0.24298999999999998,1.6086934,0.42302999999999996,0.23097112860892388,0.1325459317585302,0.05774278215223097,0.5511811023622047,0.027559055118110236
47,570,770,0.0287,0.0209,0.0114,0.0098,184,100,52,424,10,0.2397,0.715,0.6874,0.7399,-0.126,0.3036,2.5589,2.6238,1.605727,0.4137,0.0012,0.95299,0.02495,0.01059,0.7524900000000001,2.5826800000000003,0.57515,0.39471,0.38781000000000004,-0.23049,1.6081596,0.44371,0.23896103896103896,0.12987012987012986,0.06753246753246753,0.5506493506493506,0.012987012987012988
48,612,728,0.0392,0.0222,0.0122,0.01,183,117,44,374,10,0.2549,0.5692,0.8162,0.7461,-0.2153,0.3786,2.5619,2.6187,1.60697,0.3222,0.0012,0.95327,0.02658,0.010790000000000001,0.7555000000000001,2.57051,0.58153,0.39147,0.35242000000000007,-0.21581999999999998,1.6080128000000002,0.4241,0.25137362637362637,0.16071428571428573,0.06043956043956044,0.5137362637362637,0.013736263736263736
49,548,787,0.015,0.0223,0.0124,0.0102,197,113,48,423,6,0.2627,0.7097,0.5824,0.7412,-0.1946,0.3712,2.6321,2.617,1.611564,0.3845,0.0012,0.95354,0.02652,0.01101,0.74527,2.57145,0.58944,0.3839,0.31581000000000004,-0.19527999999999998,1.6082006,0.40843999999999997,0.2503176620076239,0.14358322744599747,0.060991105463786534,0.5374841168996188,0.007623888182973317
50,548,798,0.0136,0.0225,0.0119,0.0104,182,102,52,456,6,0.0131,0.7061,0.6721,0.7372,-0.0441,0.3997,2.6002,2.6135,1.608642,0.2919,0.0012,0.95382,0.02586,0.01118,0.73498,2.5718900000000002,0.60819,0.3845,0.28612000000000004,-0.18283999999999997,1.6081291,0.39635999999999993,0.22807017543859648,0.12781954887218044,0.06516290726817042,0.5714285714285714,0.007518796992481203
51,571,769,0.023,0.0231,0.0122,0.0105,184,102,45,426,12,0.3157,0.5384,0.6886,0.7378,-0.1823,0.3461,2.5646,2.606,1.55816,0.3997,0.0012,0.9541,0.025629999999999997,0.01138,0.7274999999999999,2.56708,0.60345,0.37812999999999997,0.27611,-0.16781,1.60296,0.39876999999999996,0.23927178153446033,0.13263979193758127,0.05851755526657997,0.5539661898569571,0.015604681404421327
52,566,778,0.0185,0.0232,0.0121,0.0107,183,98,41,444,12,0.5151,0.6187,0.694,0.7327,-0.359,0.3742,2.5759,2.5991,1.610172,0.4514,0.0012,0.95437,0.024369999999999996,0.01154,0.7192299999999999,2.57056,0.61262,0.37938,0.29366000000000003,-0.1858,1.6031284,0.40127000000000007,0.2352185089974293,0.12596401028277635,0.05269922879177378,0.570694087403599,0.015424164524421594
53,573,760,0.012,0.0229,0.0125,0.0108,196,102,51,405,6,0.446,0.6711,0.6397,0.7288,-0.3434,0.4057,2.6359,2.5952,1.607393,0.4191,0.0012,0.95465,0.02258,0.011710000000000002,0.70956,2.57878,0.63146,0.37520000000000003,0.30136,-0.19078,1.6033359999999999,0.40797999999999995,0.2578947368421053,0.13421052631578947,0.06710526315789474,0.5328947368421053,0.007894736842105263
54,582,750,0.0289,0.0232,0.013,0.011,192,106,48,397,7,0.0996,0.6232,0.6492,0.7201,-0.0919,0.3528,2.6229,2.5942,1.610913,0.2995,0.0012,0.95492,0.02308,0.01197,0.67825,2.58092,0.63385,0.37038,0.24426,-0.17565,1.6037472000000002,0.36576,0.256,0.14133333333333334,0.064,0.5293333333333333,0.009333333333333334
55,591,749,0.0197,0.0233,0.0134,0.0112,187,117,37,399,9,0.3514,0.5166,0.732,0.7205,-0.2757,0.4391,2.5729,2.5928,1.607122,0.3625,0.0012,0.9552,0.02291,0.01221,0.6842499999999999,2.5825400000000003,0.63174,0.37455000000000005,0.25789,-0.18779999999999997,1.6038276,0.36807,0.24966622162883845,0.15620827770360482,0.049399198931909215,0.5327102803738317,0.012016021361815754
56,606,721,0.0184,0.0233,0.0142,0.0115,191,141,28,344,17,0.2521,0.5828,0.7132,0.7204,-0.1846,0.3677,2.4691,2.5841,1.609372,0.3535,0.0012,0.95548,0.0217,0.01253,0.6874800000000001,2.57944,0.62508,0.37387,0.27503,-0.20168999999999998,1.6036035000000002,0.3698,0.26490984743411927,0.1955617198335645,0.038834951456310676,0.47711511789181693,0.023578363384188627
57,618,703,0.02,0.0229,0.014,0.0117,200,140,40,306,17,0.1452,0.6145,0.6214,0.7167,-0.1344,0.3852,2.4704,2.5766,1.610364,0.3095,0.0012,0.95575,0.020829999999999998,0.012790000000000001,0.6808799999999999,2.57059,0.61503,0.38203,0.26558000000000004,-0.20252999999999996,1.6040672,0.35938,0.2844950213371266,0.19914651493598862,0.05689900426742532,0.4352773826458037,0.02418207681365576
58,650,670,0.0399,0.0237,0.0141,0.0119,195,140,40,276,19,0.3186,0.5054,0.7044,0.7126,-0.3079,0.4418,2.4951,2.5672,1.607445,0.2964,0.0012,0.95603,0.020900000000000002,0.01298,0.6697,2.56391,0.60865,0.38835000000000003,0.27195,-0.21178999999999998,1.6041146999999998,0.35679999999999995,0.291044776119403,0.208955223880597,0.05970149253731343,0.41194029850746267,0.028358208955223882
59,638,684,0.0281,0.0244,0.0157,0.0122,204,163,31,277,9,0.3133,0.543,0.7081,0.7138,-0.2986,0.3956,2.4733,2.5597,1.607388,0.2986,0.0012,0.95631,0.02221,0.013309999999999999,0.6822699999999999,2.54803,0.59198,0.39079,0.27701000000000003,-0.22218999999999997,1.6036971000000002,0.34821,0.2982456140350877,0.23830409356725146,0.04532163742690058,0.40497076023391815,0.013157894736842105
60,645,679,0.0282,0.0248,0.0148,0.0124,197,145,35,292,10,0.488,0.4728,0.7223,0.7111,-0.4508,0.4849,2.4665,2.5533,1.606661,0.3261,0.0012,0.95658,0.02367,0.013600000000000001,0.68729,2.5346599999999997,0.5686500000000001,0.39931,0.32450000000000007,-0.26286,1.603499,0.35163,0.29013254786450665,0.21354933726067746,0.05154639175257732,0.43004418262150224,0.014727540500736377
61,676,641,0.0311,0.0251,0.0159,0.0127,206,164,38,220,13,0.3059,0.6224,0.7575,0.7108,-0.328,0.372,2.4435,2.5448,1.610336,0.2765,0.0012,0.95686,0.02448,0.013970000000000002,0.69418,2.52255,0.5770500000000001,0.40190000000000003,0.32352000000000003,-0.27742999999999995,1.6087166,0.33931,0.3213728549141966,0.25585023400936036,0.059282371294851796,0.34321372854914195,0.0202808112324493
62,665,646,0.0237,0.0247,0.0157,0.0129,213,159,41,222,11,0.3884,0.5447,0.665,0.7052,-0.4065,0.376,2.4267,2.5391,1.607846,0.2625,0.0012,0.95714,0.025,0.01433,0.6912800000000001,2.50763,0.56965,0.40207999999999994,0.31085,-0.28218,1.608484,0.32042000000000004,0.32972136222910214,0.24613003095975233,0.06346749226006192,0.34365325077399383,0.017027863777089782
